,1/31/11,4/30/11,7/31/11,10/31/11,1/31/12,4/30/12,7/31/12,10/31/12,1/31/13,4/30/13,7/31/13,10/31/13,1/31/14,4/30/14,7/31/14,10/31/14,1/31/15,4/30/15,7/31/15,10/31/15,1/31/16,4/30/16,7/31/16,10/31/16,1/31/17,4/30/17
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,,342090000,,,,318023000,,,,329100000,,,,312800000,
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,,,,,,295424000,280956000,276810000,309798000,342090000,306088000,300781000,344292000,318023000,271400000,310400000,323600000,329100000,300400000,300700000,313100000,312800000,281400000
AccountsPayableTradeCurrent,,,,,113149000,,,,122101000,,,,116601000,,,,118012000,,,,127800000,,,,108600000,
AccountsReceivableNetCurrent,,,182001000,170181000,184085000,181641000,171463000,160604000,173998000,181715000,161746000,165862000,188814000,194571000,190318000,177290000,195168000,192500000,180300000,206500000,206400000,221500000,216400000,214000000,226800000,233100000
AccruedIncomeTaxesCurrent,55691000,14600000,20687000,1459000,60977000,31971000,26901000,17958000,30487000,30817000,36731000,16190000,31976000,26135000,28374000,25657000,39859000,44600000,38300000,30600000,27100000,36600000,30500000,32600000,22100000,35300000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,991137000,,,,1103157000,,,,1243547000,,,,1367683000,,,,1418600000,,,,1523900000,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,485000,-278000,130000,843000,846000,1493000,1849000,2664000,1744000,3726000,2677000,3444000,2931000,3832000,1912000,3000000,1800000,1100000,-1000000,200000,1000000,1000000,800000,900000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,-5840000,-11981000,-8729000,-7764000,-22342000,-16824000,-3207000,-420000,-3397000,-4806000,-6607000,-10086000,-11383000,-11875000,-5399000,-9800000,-12500000,-16900000,-26800000,-22500000,-14400000,-22000000,-16100000,-17100000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,51232000,50384000,125740000,123186000,120735000,-118256000,-136581000,133657000,130945000,127932000,71464000,69422000,67863000,65890000,210691000,206000000,201500000,196900000,115000000,112700000,110600000,108500000,97200000,95000000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,77436000,63329000,49209000,50649000,28929000,44267000,44064000,28626000,13280000,32835000,16846000,33997000,29042000,-9170000,-76284000,-72700000,-104500000,-110400000,-135300000,-83600000,-108200000,-121700000,-143700000,-131600000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-12565000,19923000,20849000,686000,-85130000,-79458000,-113302000,-89320000,-93875000,-102787000,-119318000,-96177000,-58548000,-42067000,-47273000,-83103000,-290462000,-285500000,-316700000,-323100000,-278100000,-218600000,-232200000,-251200000,-256200000,-242800000
AdditionalPaidInCapitalCommonStock,863967000,909357000,951552000,957915000,970215000,991617000,998720000,1010418000,1019997000,1039023000,1061849000,1074522000,1095304000,1128439000,1152139000,1168116000,1173625000,1178100000,1184700000,1181600000,1175700000,1179500000,1175900000,1179600000,1190200000,1196500000
AllowanceForDoubtfulAccountsReceivableCurrent,,,12400000,11546000,11772000,10642000,10353000,8796000,9710000,10153000,8918000,10456000,10337000,9906000,9537000,10467000,10599000,10000000,9800000,10000000,11500000,11600000,10500000,10900000,11500000,12700000
Assets,3735669000,3758132000,3930888000,3898284000,4158992000,4206669000,4324746000,4449995000,4630850000,4665756000,4731718000,4879501000,4752351000,4825514000,4935825000,4996989000,5180603000,5150000000,5180500000,5165800000,5129700000,5148200000,5102900000,5139100000,5097600000,5106200000
AssetsCurrent,2684545000,2690953000,2767504000,2744507000,2889675000,2933114000,3004714000,3082806000,3151589000,3184483000,3239917000,3362502000,3228388000,3333306000,3450975000,3510377000,3611387000,3580000000,3613700000,3584800000,3508400000,3522200000,3476700000,3509200000,3573600000,3594500000
AssetsFairValueDisclosure,,,82076000,59939000,51252000,68022000,44524000,47456000,65511000,74575000,68471000,62096000,79790000,79290000,57379000,98040000,77538000,106700000,63100000,90500000,78500000,55400000,116300000,105400000,108100000,170900000
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,1699000,,,,1293000,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,1904000,,,,4144000,,,,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,,,,,25000000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,,,,,,,24493000,,,,,,,,,,,,,,,,,,,
CapitalizedComputerSoftwareGross,,,,,,,,,,,,,,,,,,,,,,,,,312400000,
CashAndCashEquivalentsAtCarryingValue,681591000,604419000,532981000,279111000,433954000,321582000,366080000,344512000,504838000,464916000,489664000,521200000,345778000,359314000,398242000,349301000,729957000,675800000,758500000,673200000,843600000,779600000,666300000,727500000,928000000,838800000
CommonStockParOrStatedValuePerShare,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000,240000000
CommonStockSharesIssued,126969000,127713000,128164000,127027000,126676000,126726000,126638000,126774000,126934000,127579000,127945000,128048000,128312000,129044000,129295000,129354000,129326000,129200000,128900000,128200000,126800000,126000000,124900000,124500000,124500000,124700000
CommonStockSharesOutstanding,126969000,127713000,128164000,127027000,126676000,126726000,126638000,126774000,126934000,127579000,127945000,128048000,128312000,129044000,129295000,129354000,129326000,129200000,128900000,128200000,126800000,126000000,124900000,124500000,124500000,124700000
CommonStockValue,1269000,1277000,1281000,1270000,1267000,1267000,1266000,1267000,1269000,1275000,1279000,1280000,1283000,1290000,1293000,1293000,1293000,1300000,1300000,1300000,1300000,1300000,1300000,1200000,1200000,1200000
ConstructionInProgressGross,,,,,17652000,,,,24509000,,,,40569000,,,,59771000,,,,95700000,,,,78600000,
DebtInstrumentCarryingAmount,,,,,,,,,,,,,,,,,884470000,,,,884200000,,,,888000000,
DebtInstrumentFairValue,,,850000000,850000000,860000000,980000000,1100000000,1100000000,1100000000,1100000000,1100000000,1100000000,1100000000,1100000000,1100000000,1100000000,1200000000,1100000000,1100000000,1100000000,1100000000,1100000000,1100000000,1100000000,1100000000,1100000000
DeferredCompensationArrangementWithIndividualRecordedLiability,,,,,20816000,,,,24463000,,,,27828000,,,,27087000,,,,24900000,,,,26500000,
DeferredRevenueAndCreditsCurrent,,,66764000,64360000,62943000,62074000,63112000,65996000,66647000,69213000,67921000,66110000,70309000,67539000,65510000,67709000,66138000,72200000,73900000,73400000,67900000,68200000,64500000,70500000,69200000,75200000
DeferredTaxAssetsDeferredGainOnSaleLeasebackTransaction,,,,,73562000,,,,57955000,,,,47900000,,,,36321000,,,,30400000,,,,25800000,
DeferredTaxAssetsDeferredIncome,,,,,,,,,11022000,,,,11407000,,,,11188000,,,,11300000,,,,10600000,
DeferredTaxAssetsDerivativeInstruments,,,,,,,,,13824000,,,,14141000,,,,14050000,,,,19700000,,,,11900000,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,,,11711000,,,,11305000,,,,11415000,,,,11400000,,,,10800000,
DeferredTaxAssetsGross,,,,,405426000,,,,447889000,,,,435813000,,,,476790000,,,,426700000,,,,349800000,
DeferredTaxAssetsInventory,,,,,35426000,,,,59071000,,,,66227000,,,,72715000,,,,50900000,,,,57600000,
DeferredTaxAssetsLiabilitiesNet,,,,,353562000,,,,385795000,,,,377874000,,,,425814000,,,,382100000,,,,299900000,
DeferredTaxAssetsNet,,,,,391856000,,,,433708000,,,,418120000,,,,460558000,,,,407200000,,,,325700000,
DeferredTaxAssetsNetCurrent,41826000,49118000,67964000,93790000,83124000,91280000,105212000,106744000,79508000,80568000,77948000,78020000,101012000,102310000,104909000,104708000,102613000,101500000,101400000,102000000,,,,,,
DeferredTaxAssetsNetNoncurrent,202902000,187518000,185020000,171986000,271156000,269818000,276451000,269546000,306385000,305294000,309823000,315398000,278390000,260144000,246156000,246643000,323449000,323600000,334300000,338500000,382800000,369800000,367000000,370200000,301800000,296900000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,,,27806000,,,,22911000,,,,23500000,,,,25500000,
DeferredTaxAssetsOther,,,,,45921000,,,,25115000,,,,37052000,,,,37018000,,,,53600000,,,,23000000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,,49159000,,,,52530000,,,,14406000,,,,6600000,,,,6500000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,,123721000,,,,131974000,,,,106585000,,,,203045000,,,,166700000,,,,124700000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,24312000,,,,25252000,,,,22719000,,,,17280000,,,,18300000,,,,17300000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,,30219000,,,,28637000,,,,38141000,,,,36441000,,,,34300000,,,,36100000,
DeferredTaxAssetsValuationAllowance,,,,,13570000,,,,14181000,,,,17693000,,,,16232000,,,,19500000,,,,24100000,
DeferredTaxLiabilities,,,,,38294000,,,,,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings,,,,,71000000,,,,87000000,,,,98000000,,,,107000000,,,,118000000,,,,129000000,
DefinedBenefitPlanFairValueOfPlanAssets,,,,,266734000,,,,331181000,,,,397430000,,,,406045000,,,,385800000,,,,530100000,
DividendsPayableAmountPerShare,,,,,0.29,0.32,0.32,0.32,,0.32,,,0.34,,,,0.38,,,,,,,,,
